,number,geo_point_2d.lat,geo_point_2d.lon,station,mae,rmse,r2
44,45,39.45381925759081,-0.3618553529234309,45,0.06645197184687412,0.08311460714670857,0.5547092881331119
45,46,39.455509261762266,-0.3587873408716088,46,0.07193972581169672,0.0913878611994327,0.6326362407067067
46,47,39.45651226440267,-0.3554183288036281,47,0.08189206897384589,0.09924815494600908,0.8859706378125524
47,48,39.450807354184086,-0.3585527382322896,48,0.07297826211692558,0.0924263235343278,0.4823498601722681
48,49,39.45298693239739,-0.3571104198826364,49,0.06265868195436068,0.08567074059311278,0.86698418922208
49,50,39.453318252515686,-0.3528593228128155,50,0.03879492154939928,0.04749419917793294,0.8223135787025131
50,51,39.45218324552497,-0.3472273049060467,51,0.05096453638333413,0.06699121312540883,0.8822236760305829
51,52,39.45603425797373,-0.3463402980947426,52,0.048104123406940036,0.06202458449091186,0.899858083533159
52,53,39.45676426141678,-0.3481393040048007,53,0.07587075052162012,0.09746947863457979,0.424156965235149
53,54,39.459778273617445,-0.3526903171951741,54,0.0725950552047127,0.09301060685172526,0.8440753988744585
54,55,39.45934326975421,-0.3486863041159564,55,0.0660913928432597,0.10148232111318618,0.4821178740791813
55,56,39.45842126509135,-0.3444052893928658,56,0.09474505052246428,0.12885487523709233,0.7089332933039492
56,57,39.46447629179199,-0.3582563324315247,57,0.09945472382629912,0.11667316208018934,0.5230531938501797
57,58,39.46621830848607,-0.3815864106638383,58,0.06941925074077315,0.09152081129164102,0.7167721195464715
58,59,39.46308828566762,-0.3545493213542055,59,0.09448754281081535,0.1215562402394602,0.7797631773969551
59,60,39.46223128102797,-0.3517763125261459,60,0.0607602760653224,0.07575797451107875,0.9140309404293052
60,61,39.46129327599964,-0.3478302988674309,61,0.07570179489751656,0.10597141755343889,0.872901721827581
61,62,39.45981126842254,-0.3421522812931475,62,0.045183427549070766,0.058873090725677646,0.7744967807879689
62,63,39.46777930285978,-0.358414330727018,63,0.07957603521645068,0.09722450318572781,0.6363718721744969
63,64,39.46651829706714,-0.3541953172495928,64,0.06928263023081753,0.09201121398856832,0.8973688999213719
64,65,39.465516292011046,-0.3508373061951808,65,0.09044814826130912,0.1331562971393408,0.8336793462828067
65,66,39.46427128532339,-0.3462612916525901,66,0.07466999179217965,0.11104705901029298,0.9108758835586679
66,67,39.45886026320377,-0.3367982630402228,67,0.07533176085128197,0.09494777308775781,0.8260153975573723
67,68,39.46280327868023,-0.3417332778594022,68,0.078026074067586,0.09562390616938038,0.903861192095226
68,69,39.46195227384504,-0.3387212679875118,69,0.06506325046221414,0.08368299522449296,0.7658177716848933
69,70,39.46921322131946,-0.3716462894107889,70,0.06895347582748891,0.10007010493722106,0.9136986755484564
70,71,39.46038026686525,-0.3335312512230816,71,0.10127530965384923,0.13336448257958206,0.7667029781122481
71,72,39.4672572011624,-0.3464462819621424,72,0.08789281064215444,0.12022506754322651,0.882126411665981
72,73,39.4662592905475,-0.3428792786496773,73,0.0827587349081619,0.10575042466915181,0.8972862081438161
73,74,39.469949307546806,-0.3537343124957471,74,0.06328657343466249,0.08652595137974735,0.9422786455493221
74,75,39.472113313853896,-0.3517013042029511,75,0.08960995911206636,0.11011574187707227,0.8528746760828897
75,76,39.47008330347364,-0.343461277578989,76,0.08835843445294761,0.12497550490343327,0.8488304425775599
76,77,39.48497336307338,-0.3656673419583549,77,0.0724553295980311,0.08699961659217863,0.5863656951215195
77,78,39.46994531050937,-0.358688329939162,78,0.05971932510017522,0.07778520792113947,0.7878158324444118
78,79,39.4727793187067,-0.357242322435451,79,0.05762411485193297,0.07866534641082709,0.48457874056476147
79,80,39.47374232444908,-0.3622983394473602,80,0.06781560199956099,0.08871936568752063,0.9116864868273746
80,81,39.47512832851177,-0.3609783335465967,81,0.07822885523653694,0.0953740244677706,0.6023194357816396
81,82,39.47605634238628,-0.3839144104057024,82,0.10353235237610837,0.12549746270150286,0.6514429877853216
82,83,39.47758533929587,-0.3669703519914759,83,0.06346304206319878,0.10080034423589306,0.9209197841680503
83,84,39.46712309239452,-0.3352259768659084,84,0.09286135331624085,0.12030195269683071,0.8417386018041433
84,85,39.479464345022826,-0.3647153422684407,85,0.06593976959058619,0.09249529332548877,0.890231254827918
85,86,39.4552402764855,-0.3911934519157556,86,0.06394040050605934,0.07656810740997312,-0.28186034322024156
86,87,39.47851834019109,-0.3618803335785998,87,0.07462568733972882,0.11663503570467262,0.6902196865439575
87,88,39.47751233609685,-0.3611423324837735,88,0.04321374400492964,0.05595803658506678,0.8188820403468295
88,89,39.47780233689744,-0.3593183259089267,89,0.054706902449295186,0.08261914406068659,0.9440524213869721
89,90,39.47673433298103,-0.3589673254467337,90,0.0625984698559882,0.08455384275435347,0.9124561025635342
90,91,39.44412522887422,-0.3675733796970313,91,0.06979174854026897,0.08772497546860016,0.4655732895465987
